,GROUP,CONCEPT,NAME,NAME_USED,MAJOR_GROUP,TERR_GROUP,MAJOR_ORDER,SPECIES_NAME,NEW_GROUP,NEW_GROUP_2,bad_sp
12146,PlantBugs,Hem_1494,Drymus sylvaticus,Hem_1494,INSECTS,TERR_INC,OTHER_INSECTS,Drymus sylvaticus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1496,Dryophilocoris flavoquadrimaculatus,Hem_1496,INSECTS,TERR_INC,OTHER_INSECTS,Dryophilocoris flavoquadrimaculatus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1498,Dufouriellus ater,Hem_1498,INSECTS,TERR_INC,OTHER_INSECTS,Dufouriellus ater,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1538,Elatophilus nigricornis,Hem_1538,INSECTS,TERR_INC,OTHER_INSECTS,Elatophilus nigricornis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3824,Emblethis denticollis,Hem_3824,INSECTS,TERR_INC,OTHER_INSECTS,Emblethis denticollis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3825,Emblethis griseus,Hem_3825,INSECTS,TERR_INC,OTHER_INSECTS,Emblethis griseus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1548,Empicoris baerensprungi,Hem_1548,INSECTS,TERR_INC,OTHER_INSECTS,Empicoris baerensprungi,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1549,Empicoris culiciformis,Hem_1549,INSECTS,TERR_INC,OTHER_INSECTS,Empicoris culiciformis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1550,Empicoris vagabundus,Hem_1550,INSECTS,TERR_INC,OTHER_INSECTS,Empicoris vagabundus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1558,Eremocoris abietis,Hem_1558,INSECTS,TERR_INC,OTHER_INSECTS,Eremocoris abietis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1559,Eremocoris fenestratus,Hem_1559,INSECTS,TERR_INC,OTHER_INSECTS,Eremocoris fenestratus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1560,Eremocoris plebejus,Hem_1560,INSECTS,TERR_INC,OTHER_INSECTS,Eremocoris plebejus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1561,Eremocoris podagricus,Hem_1561,INSECTS,TERR_INC,OTHER_INSECTS,Eremocoris podagricus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3832,Europiella artemisiae,Hem_3832,INSECTS,TERR_INC,OTHER_INSECTS,Europiella artemisiae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3833,Europiella decolor,Hem_3833,INSECTS,TERR_INC,OTHER_INSECTS,Europiella decolor,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1626,Fieberocapsus flaveolus,Hem_1626,INSECTS,TERR_INC,OTHER_INSECTS,Fieberocapsus flaveolus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1637,Gampsocoris punctipes,Hem_1637,INSECTS,TERR_INC,OTHER_INSECTS,Gampsocoris punctipes,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1641,Gastrodes abietum,Hem_1641,INSECTS,TERR_INC,OTHER_INSECTS,Gastrodes abietum,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1642,Gastrodes grossipes,Hem_1642,INSECTS,TERR_INC,OTHER_INSECTS,Gastrodes grossipes,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1662,Globiceps dispar,Hem_1662,INSECTS,TERR_INC,OTHER_INSECTS,Mecomma dispar,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1660,Globiceps flavomaculatus,Hem_1660,INSECTS,TERR_INC,OTHER_INSECTS,Globiceps flavomaculatus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_4150,Globiceps fulvicollis,Hem_3181,INSECTS,TERR_INC,OTHER_INSECTS,Globiceps fulvicollis subsp. cruciatus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3181,Globiceps fulvicollis subsp. cruciatus,Hem_3181,INSECTS,TERR_INC,OTHER_INSECTS,Globiceps fulvicollis subsp. cruciatus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1661,Globiceps juniperi,Hem_1661,INSECTS,TERR_INC,OTHER_INSECTS,Globiceps juniperi,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1670,Graptopeltus lynceus,Hem_1670,INSECTS,TERR_INC,OTHER_INSECTS,Graptopeltus lynceus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,no_match,Grypocoris stysi,Hem_1247,INSECTS,TERR_INC,OTHER_INSECTS,Calocoris stysi,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
