,SPECIES,SPECIES_NAME,GROUP,MAJOR_ORDER
238,NOMADA flava,NOMADA flava,Bees,TERRESTRIAL_INSECTS
239,NOMADA flavoguttata,NOMADA flavoguttata,Bees,TERRESTRIAL_INSECTS
240,NOMADA flavopicta,NOMADA flavopicta,Bees,TERRESTRIAL_INSECTS
241,NOMADA fucata,NOMADA fucata,Bees,TERRESTRIAL_INSECTS
242,NOMADA fulvicornis,NOMADA fulvicornis,Bees,TERRESTRIAL_INSECTS
243,NOMADA goodeniana,NOMADA goodeniana,Bees,TERRESTRIAL_INSECTS
244,NOMADA hirtipes,NOMADA hirtipes,Bees,TERRESTRIAL_INSECTS
245,NOMADA integra,NOMADA integra,Bees,TERRESTRIAL_INSECTS
246,NOMADA lathburiana,NOMADA lathburiana,Bees,TERRESTRIAL_INSECTS
247,NOMADA leucophthalma,NOMADA leucophthalma,Bees,TERRESTRIAL_INSECTS
248,NOMADA marshamella,NOMADA marshamella,Bees,TERRESTRIAL_INSECTS
249,NOMADA panzeri,NOMADA panzeri,Bees,TERRESTRIAL_INSECTS
250,NOMADA ruficornis,NOMADA ruficornis,Bees,TERRESTRIAL_INSECTS
251,NOMADA rufipes,NOMADA rufipes,Bees,TERRESTRIAL_INSECTS
252,NOMADA sheppardana,NOMADA sheppardana,Bees,TERRESTRIAL_INSECTS
253,NOMADA signata,NOMADA signata,Bees,TERRESTRIAL_INSECTS
254,NOMADA striata,NOMADA striata,Bees,TERRESTRIAL_INSECTS
255,OSMIA aurulenta,OSMIA aurulenta,Bees,TERRESTRIAL_INSECTS
256,OSMIA bicolor,OSMIA bicolor,Bees,TERRESTRIAL_INSECTS
257,OSMIA bicornis,OSMIA bicornis,Bees,TERRESTRIAL_INSECTS
258,OSMIA caerulescens,OSMIA caerulescens,Bees,TERRESTRIAL_INSECTS
259,OSMIA leaiana,OSMIA leaiana,Bees,TERRESTRIAL_INSECTS
260,OSMIA parietina,OSMIA parietina,Bees,TERRESTRIAL_INSECTS
261,OSMIA pilicornis,OSMIA pilicornis,Bees,TERRESTRIAL_INSECTS
262,OSMIA spinulosa,OSMIA spinulosa,Bees,TERRESTRIAL_INSECTS
263,PANURGUS banksianus,PANURGUS banksianus,Bees,TERRESTRIAL_INSECTS
264,PANURGUS calcaratus,PANURGUS calcaratus,Bees,TERRESTRIAL_INSECTS
265,SPHECODES crassus,SPHECODES crassus,Bees,TERRESTRIAL_INSECTS
266,SPHECODES ephippius,SPHECODES ephippius,Bees,TERRESTRIAL_INSECTS
267,SPHECODES ferruginatus,SPHECODES ferruginatus,Bees,TERRESTRIAL_INSECTS
268,SPHECODES geoffrellus,SPHECODES geoffrellus,Bees,TERRESTRIAL_INSECTS
269,SPHECODES gibbus,SPHECODES gibbus,Bees,TERRESTRIAL_INSECTS
270,SPHECODES hyalinatus,SPHECODES hyalinatus,Bees,TERRESTRIAL_INSECTS
271,SPHECODES longulus,SPHECODES longulus,Bees,TERRESTRIAL_INSECTS
272,SPHECODES miniatus,SPHECODES miniatus,Bees,TERRESTRIAL_INSECTS
273,SPHECODES monilicornis,SPHECODES monilicornis,Bees,TERRESTRIAL_INSECTS
274,SPHECODES niger,SPHECODES niger,Bees,TERRESTRIAL_INSECTS
275,SPHECODES pellucidus,SPHECODES pellucidus,Bees,TERRESTRIAL_INSECTS
276,SPHECODES puncticeps,SPHECODES puncticeps,Bees,TERRESTRIAL_INSECTS
